,Wallet,XP,Reward Percentage,HARMONIX,,RESOLV,,,,HYPERSWAP (AFTER TGE)
,,,,"$2,000 worth of $HYPE (dollar)","1,000,000 Harmonix Points",$1000 worth of $USR,"15,000,000 Resolv Points",Random: 30 Blueprint NFTs,Engage on-chain: 100 Blueprint NFTs,"$5,000 worth of $HSPX (at HyperSwap’s TGE valuation)"
164,0xd8c150ce6649b02e082f36cc484223af63b6c2d6,146,0.04%,0.74,370.96,0.37,5564.47,FALSE,FALSE,1.85
165,0xdfa8e3a0f2096ec0f3dced725fa703072922323d,998.22,0.25%,5.07,2536.33,2.54,38044.94,FALSE,FALSE,12.68
166,0xda2034513414e4112bbb5f76a9e94ede5e04e757,110,0.03%,0.56,279.49,0.28,4192.41,FALSE,FALSE,1.40
167,0xdba8970fa03aadd94302fe007ecd73b695138f3d,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
168,0xdcc276b4c2d023d9ce3d326f9c634297e795d261,345,0.09%,1.75,876.59,0.88,13148.91,FALSE,FALSE,4.38
169,0xddf101d1007b6c77309837d8ec513654b8cf8346,40,0.01%,0.20,101.63,0.10,1524.51,FALSE,FALSE,0.51
170,0xe6b1eca33bb1d0681c979b6100ab8ecf99dce18a,43,0.01%,0.22,109.26,0.11,1638.85,FALSE,FALSE,0.55
171,0xe74fcfa5c7e5c39fb3e10a8279f78f557cf49ab7,200,0.05%,1.02,508.17,0.51,7622.56,FALSE,FALSE,2.54
172,0xe75ccf0d77845520d8acc8f752413d77fb195bb9,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
173,0xee77cf3e637a2193af7df8e000175c7c34f21f23,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
174,0xea9fe7e2aee308b42e6ed55630555c4b60123e88,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
175,0xeba2237e43693ad37466eb7b75a0e1c35407462e,70,0.02%,0.36,177.86,0.18,2667.89,FALSE,FALSE,0.89
176,0xf0078705af6c33c9a297bda67871e6c99cb74783,160,0.04%,0.81,406.54,0.41,6098.05,FALSE,FALSE,2.03
178,0xf2098a1e655e2b8e70b4ea5ce1e998eb159dd22c,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
179,0xf464c59f62fcba84ed508cf36bc5d2ae2a48877d,232,0.06%,1.18,589.48,0.59,8842.17,FALSE,FALSE,2.95
180,0xf6f4fa2a5f79d00d31fcd016812c9fb42a99a5b2,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
181,0xff6026607daea65a42cd441395d70c3f3418700a,459,0.12%,2.33,1166.25,1.17,17493.77,FALSE,TRUE,5.83
182,0xfddedd992fc3b3cec21a59f8dc2c1221c5a0ff67,73,0.02%,0.37,185.48,0.19,2782.23,FALSE,FALSE,0.93
183,0xff1a1aa3f81986ce934f42be48488a6fddb38874,6528.15,1.66%,33.17,16587.06,16.59,248805.96,FALSE,FALSE,82.94
,,393568.74,,0,0,0,0,,,0
